#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654   15.143893803  -48.972017625
   -3.018392942    9.763625951  -38.354670325
   -2.895193230    5.700437058  -27.636113812
   -2.771993518    2.939939174  -17.294155218
   -2.648793806    1.411287338   -7.699324860
   -2.525594094    0.981997175    0.390861869
   -2.402394382    1.404708228    5.949441633
   -2.279194670    2.315405925    8.179691208
   -2.155994958    3.286506874    6.951715691
   -2.032795246    3.920754232    2.897497229
   -1.909595535    3.942880213   -2.757289545
   -1.786395823    3.264297456   -8.148661750
   -1.663196111    2.053397748  -11.005164679
   -1.539996399    0.756427415   -9.294390540
   -1.416796687    0.000000000   -2.269508620
   -1.293596975    0.378887772    8.765688210
   -1.170397263    2.220536235   20.896487143
   -1.047197551    5.468265590   31.175404702
   -0.923997839    9.775215069   38.010794395
   -0.800798127   14.707728108   41.504086729
   -0.677598415   19.909010727   42.428756700
   -0.554398704   25.091351587   41.203778643
   -0.431198992   29.953423894   37.071279466
   -0.307999280   34.075985879   29.047715639
   -0.184799568   36.956952391   17.014785159
   -0.061599856   38.169610411    2.287943869
    0.061599856   37.526448631  -12.697532179
    0.184799568   35.147887059  -25.555231016
    0.307999280   31.395265193  -34.822859363
    0.431198992   26.740314955  -40.214072691
    0.554398704   21.655931355  -41.810578022
    0.677598415   16.616928000  -39.385987028
    0.800798127   12.158683043  -32.259822470
    0.923997839    8.896028870  -19.960945520
    1.047197551    7.450291202   -2.901959764
    1.170397263    8.320329821   17.299877807
    1.293596975   11.751587012   38.217946507
    1.416796687   17.662178534   57.096666742
    1.539996399   25.624621931   71.069317670
    1.663196111   34.870090361   77.514151767
    1.786395823   44.348059001   74.606620945
    1.909595535   52.859838328   61.926412420
    2.032795246   59.268289147   40.859020192
    2.155994958   62.719231666   14.493205390
    2.279194670   62.806716480  -13.000885851
    2.402394382   59.656081031  -37.480342402
    2.525594094   53.847030301  -55.712054401
    2.648793806   46.262970797  -66.186307391
    2.771993518   37.861357818  -69.148435769
    2.895193230   29.489871481  -65.981173746
    3.018392942   21.785257142  -58.644956800
