#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654 -108.325709852  -49.728169402
   -3.018392942 -113.801291651  -39.101224124
   -2.895193230 -117.939771314  -28.075467429
   -2.771993518 -120.726177680  -17.268420985
   -2.648793806 -122.224798074   -7.265973957
   -2.525594094 -122.586037936    1.013158006
   -2.402394382 -122.087956335    6.503440758
   -2.279194670 -121.123621384    8.460440109
   -2.155994958 -120.141463697    6.830683079
   -2.032795246 -119.551026554    2.294611662
   -1.909595535 -119.633869886   -3.859675827
   -1.786395823 -120.474594418   -9.653948725
   -1.663196111 -121.883733973  -12.669951858
   -1.539996399 -123.377567005  -10.771307582
   -1.416796687 -124.287112167   -3.243030070
   -1.293596975 -123.988512078    8.432461090
   -1.170397263 -122.152078956   21.103975848
   -1.047197551 -118.858534082   31.656511298
   -0.923997839 -114.489988492   38.485615861
   -0.800798127 -109.507802543   41.819341016
   -0.677598415 -104.276724623   42.607321109
   -0.554398704  -99.072993552   41.399016450
   -0.431198992  -94.175903931   37.466799986
   -0.307999280  -89.984907275   29.773452115
   -0.184799568  -86.992382129   18.085505268
   -0.061599856  -85.631062862    3.595988634
    0.061599856  -86.108141662  -11.355505756
    0.184799568  -88.330182838  -24.396685945
    0.307999280  -91.958910343  -33.990650154
    0.431198992  -96.532391477  -39.719125853
    0.554398704 -101.571594183  -41.555698423
    0.677598415 -106.587082826  -39.248739303
    0.800798127 -111.031124652  -32.167934452
    0.923997839 -114.285045951  -19.925744895
    1.047197551 -115.732947105   -2.992924346
    1.170397263 -114.885904261   17.000588034
    1.293596975 -111.506609543   37.666371622
    1.416796687 -105.677153891   56.342404538
    1.539996399  -97.811425903   70.284456667
    1.663196111  -88.651435499   76.950454840
    1.786395823  -79.218244730   74.458603437
    1.909595535  -70.697208304   62.201170584
    2.032795246  -64.238359388   41.350562620
    2.155994958  -60.727675182   14.925560008
    2.279194670  -60.599044394  -12.776604372
    2.402394382  -63.732565033  -37.407911004
    2.525594094  -69.533703351  -55.638750340
    2.648793806  -77.104121224  -66.046596888
    2.771993518  -85.489088525  -69.052491838
    2.895193230  -93.861387208  -66.128120107
    3.018392942 -101.605347913  -59.143051895
