#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  90
#! SET periodic_phi true
   -3.141592654   97.463478480   44.660091243
   -3.071779484  100.402827934   39.284932088
   -3.001966313  102.965474953   33.735620578
   -2.932153143  105.128201361   28.128460655
   -2.862339973  106.904175115   22.459490726
   -2.792526803  108.290146169   16.940178610
   -2.722713633  109.297248552   11.632772560
   -2.652900463  109.945994715    6.630409343
   -2.583087293  110.257931545    2.114009434
   -2.513274123  110.278597491   -1.724435197
   -2.443460953  110.061861923   -4.673107819
   -2.373647783  109.667933201   -6.648811682
   -2.303834613  109.166319303   -7.648652257
   -2.234021443  108.638582686   -7.472350560
   -2.164208272  108.150374906   -6.420660218
   -2.094395102  107.767048248   -4.438378454
   -2.024581932  107.547122536   -1.769871369
   -1.954768762  107.526977799    1.316683635
   -1.884955592  107.737188858    4.567244449
   -1.815142422  108.161994085    7.570710186
   -1.745329252  108.773015003    9.964047301
   -1.675516082  109.524683331   11.333723826
   -1.605702912  110.314363163   11.286805158
   -1.535889742  111.049017014    9.571027569
   -1.466076572  111.606582763    6.229742101
   -1.396263402  111.874557711    1.378452853
   -1.326450232  111.756782768   -4.484596038
   -1.256637061  111.213575747  -11.012963561
   -1.186823891  110.207218187  -17.499010195
   -1.117010721  108.766708786  -23.408600302
   -1.047197551  106.939330141  -28.497912016
   -0.977384381  104.808461632  -32.465211436
   -0.907571211  102.439168508  -35.263196128
   -0.837758041   99.900978976  -37.026728269
   -0.767944871   97.275933529  -37.979990375
   -0.698131701   94.605135272  -38.379532098
   -0.628318531   91.930219728  -38.193276687
   -0.558505361   89.283936368  -37.401105884
   -0.488692191   86.725685741  -35.772706066
   -0.418879020   84.311200425  -33.244994074
   -0.349065850   82.106297180  -29.639468481
   -0.279252680   80.206589342  -24.728451580
   -0.209439510   78.681126659  -18.726458827
   -0.139626340   77.620405077  -11.755242139
   -0.069813170   77.059172137   -4.162721474
    0.000000000   77.037632331    3.578864581
    0.069813170   77.540538139   11.038877229
    0.139626340   78.560986605   17.933146195
    0.209439510   80.023405941   23.953313794
    0.279252680   81.876329991   28.867746493
    0.349065850   84.032880654   32.669537932
    0.418879020   86.413051664   35.387931367
    0.488692191   88.942278655   36.974794262
    0.558505361   91.541010759   37.418212154
    0.628318531   94.130649181   36.714272756
    0.698131701   96.623084410   34.638422063
    0.767944871   98.920365035   31.180354629
    0.837758041  100.923273383   26.174412137
    0.907571211  102.532014393   19.717862991
    0.977384381  103.630292398   11.818361438
    1.047197551  104.140029902    2.708355678
    1.117010721  103.985489800   -7.297656204
    1.186823891  103.102665932  -17.802782868
    1.256637061  101.489622175  -28.430902167
    1.326450232   99.135972590  -38.716872714
    1.396263402   96.099082674  -48.216465996
    1.466076572   92.437772298  -56.435228422
    1.535889742   88.262385970  -62.966576875
    1.605702912   83.698576376  -67.434284032
    1.675516082   78.894960702  -69.466465342
    1.745329252   74.055154761  -68.802082044
    1.815142422   69.359896145  -65.278706847
    1.884955592   65.012674344  -58.951580775
    1.954768762   61.195729722  -49.951315144
    2.024581932   58.089685051  -38.745643125
    2.094395102   55.831392419  -25.824945328
    2.164208272   54.513230103  -11.811922575
    2.234021443   54.189380565    2.458443934
    2.303834613   54.839646342   16.245012190
    2.373647783   56.419944176   28.868426532
    2.443460953   58.827674602   39.775132924
    2.513274123   61.934377028   48.673042040
    2.583087293   65.572860618   55.288018548
    2.652900463   69.601752904   59.612712531
    2.722713633   73.852512419   61.756888177
    2.792526803   78.182585755   62.007780899
    2.862339973   82.464405753   60.572935394
    2.932153143   86.608114863   57.820923453
    3.001966313   90.531392188   54.120141636
    3.071779484   94.165638157   49.682359544
