#! FIELDS phi psi 2dmetad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  90
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  47
#! SET periodic_psi true
   -3.141592654   -3.141592654   80.496727196   43.527339007  -16.043314524
   -3.071779484   -3.141592654   83.367922400   37.597976858  -16.192732445
   -3.001966313   -3.141592654   85.792179712   31.301915054  -16.226263997
   -2.932153143   -3.141592654   87.768792754   24.907542771  -16.265685755
   -2.862339973   -3.141592654   89.305049515   18.736402517  -16.288513623
   -2.792526803   -3.141592654   90.432841421   12.933422583  -16.295177484
   -2.722713633   -3.141592654   91.168760137    7.622530496  -16.387351443
   -2.652900463   -3.141592654   91.548161207    2.833024613  -16.526937250
   -2.583087293   -3.141592654   91.623108303   -1.112171647  -16.741151454
   -2.513274123   -3.141592654   91.441234211   -4.356521930  -17.065366945
   -2.443460953   -3.141592654   91.048760072   -6.923098945  -17.462901257
   -2.373647783   -3.141592654   90.502306461   -8.798858574  -17.921524822
   -2.303834613   -3.141592654   89.838015342  -10.115798150  -18.370004358
   -2.234021443   -3.141592654   89.108316510  -10.905863920  -18.781158052
   -2.164208272   -3.141592654   88.337113552  -11.213999348  -19.170502666
   -2.094395102   -3.141592654   87.551020027  -11.076574554  -19.530387381
   -2.024581932   -3.141592654   86.794707719  -10.612935426  -19.878720623
   -1.954768762   -3.141592654   86.080030537   -9.844444134  -20.248847731
   -1.884955592   -3.141592654   85.433133014   -8.883287054  -20.656077251
   -1.815142422   -3.141592654   84.829505879   -7.955349548  -21.105162801
   -1.745329252   -3.141592654   84.291345574   -7.190646266  -21.680652208
   -1.675516082   -3.141592654   83.789858171   -7.029210051  -22.419085702
   -1.605702912   -3.141592654   83.271386402   -7.447434718  -23.399341072
   -1.535889742   -3.141592654   82.703046253   -8.673429829  -24.599621958
   -1.466076572   -3.141592654   82.012923509  -10.928905428  -26.048690662
   -1.396263402   -3.141592654   81.124464350  -14.192346891  -27.739718619
   -1.326450232   -3.141592654   79.974354662  -18.401072417  -29.669823467
   -1.256637061   -3.141592654   78.501504311  -23.469386167  -31.784838390
   -1.186823891   -3.141592654   76.655507894  -29.046302667  -33.989786108
   -1.117010721   -3.141592654   74.402480056  -34.978786314  -36.208441382
   -1.047197551   -3.141592654   71.732687135  -40.854986995  -38.310405378
   -0.977384381   -3.141592654   68.662863444  -46.457938514  -40.158433322
   -0.907571211   -3.141592654   65.227683261  -51.468826192  -41.596455294
   -0.837758041   -3.141592654   61.475766921  -55.450076252  -42.510701143
   -0.767944871   -3.141592654   57.485395487  -58.371118916  -42.828390046
   -0.698131701   -3.141592654   53.322639184  -60.022229348  -42.470536490
   -0.628318531   -3.141592654   49.099558707  -60.315048426  -41.463783810
   -0.558505361   -3.141592654   44.919665248  -59.170355019  -39.728124060
   -0.488692191   -3.141592654   40.857088472  -56.652520771  -37.358087890
   -0.418879020   -3.141592654   37.018821620  -52.807728921  -34.443262982
   -0.349065850   -3.141592654   33.505465557  -47.447692752  -31.051329883
   -0.279252680   -3.141592654   30.409913543  -40.812288465  -27.261400577
   -0.209439510   -3.141592654   27.818572024  -32.984488178  -23.113952852
   -0.139626340   -3.141592654   25.826390186  -23.982432885  -18.714308388
   -0.069813170   -3.141592654   24.488311018  -14.109483045  -14.135492678
    0.000000000   -3.141592654   23.874350001   -3.617987562   -9.357856063
    0.069813170   -3.141592654   24.002018904    7.322190145   -4.533378849
    0.139626340   -3.141592654   24.906455588   18.236812168    0.261018306
    0.209439510   -3.141592654   26.542981813   28.651086632    4.920491553
    0.279252680   -3.141592654   28.885417385   38.134766209    9.322188149
    0.349065850   -3.141592654   31.837764270   46.365395351   13.364177223
    0.418879020   -3.141592654   35.313743355   52.874720945   16.860889541
    0.488692191   -3.141592654   39.173583072   57.378687864   19.693437102
    0.558505361   -3.141592654   43.267294705   59.564649758   21.790482835
    0.628318531   -3.141592654   47.437229014   59.287857535   23.113631691
    0.698131701   -3.141592654   51.490472876   56.594095244   23.616056209
    0.767944871   -3.141592654   55.277032311   51.329222458   23.403569353
    0.837758041   -3.141592654   58.605827965   43.765718161   22.586767632
    0.907571211   -3.141592654   61.337198340   34.266108701   21.212250713
    0.977384381   -3.141592654   63.350809158   23.357376763   19.420325468
    1.047197551   -3.141592654   64.566650799   11.557688778   17.440830479
    1.117010721   -3.141592654   64.948755052   -0.369848844   15.337151973
    1.186823891   -3.141592654   64.512344744  -11.718274242   13.264151233
    1.256637061   -3.141592654   63.321796245  -21.714859568   11.272489085
    1.326450232   -3.141592654   61.506928672  -29.906041999    9.471804425
    1.396263402   -3.141592654   59.184128318  -36.049778496    7.913873597
    1.466076572   -3.141592654   56.515403955  -39.975893205    6.574558479
    1.535889742   -3.141592654   53.641515408  -41.819036415    5.434157875
    1.605702912   -3.141592654   50.717321363  -41.718575722    4.474060261
    1.675516082   -3.141592654   47.846480873  -40.087278561    3.647229632
    1.745329252   -3.141592654   45.141716516  -37.091870951    2.928904869
    1.815142422   -3.141592654   42.676954142  -33.065225622    2.236777694
    1.884955592   -3.141592654   40.542912390  -27.912496299    1.539974398
    1.954768762   -3.141592654   38.807046190  -21.841388899    0.817970899
    2.024581932   -3.141592654   37.511775454  -14.798370087   -0.001725086
    2.094395102   -3.141592654   36.764149976   -6.733024626   -0.910577234
    2.164208272   -3.141592654   36.596189317    2.125606120   -1.952183951
    2.234021443   -3.141592654   37.070281912   11.609418899   -3.124931466
